id,endpoint_id,uri
20,5,http://creativecommons.org/licenses/by/2.1/jp/
21,5,http://dbcls.rois.ac.jp/
22,5,http://dbpedia.org/resource
23,5,http://id.nlm.nih.gov/mesh/
24,5,http://lod.ac/bdls/species/
25,5,http://lod.ac/bdls/species/Visna/
26,5,http://lod.ac/bdls/term/
27,5,http://lod.ac/bdls/term/O/
28,5,http://lod.ac/bdls/term/W/
29,5,http://purl.jp/bio/10/lsd/term/
30,5,http://purl.org/allie/id/longform/
31,5,http://purl.org/allie/id/pair/
32,5,http://purl.org/allie/id/shortform/
33,5,http://purl.org/allie/ontology/
34,5,http://purl.org/allie/ontology/201108#
35,5,http://purl.org/dc/terms/
36,5,http://togows.dbcls.jp/entry/ncbi-pubmed/
37,5,http://www.w3.org/2001/XMLSchema#
38,5,http://www.w3.org/2002/07/owl#
39,12,http://129.128.185.122/drugbank2/drugs
40,12,http://bio2rdf.org/
41,12,http://dbpedia.org/ontology/
42,12,http://dbpedia.org/page/
43,12,http://dbpedia.org/resource/
44,12,http://en.wikipedia.org/wiki/
45,12,http://www.drugbank.ca/drugs/
46,12,http://www.rxlist.com/cgi/
47,12,http://www.rxlist.com/cgi/generic/
48,12,http://www.rxlist.com/cgi/generic2/
49,12,http://www.rxlist.com/cgi/generic3/
50,12,http://www.rxlist.com/cgi/generic4/
51,12,http://www.uniprot.org/uniprot/
52,12,http://www.w3.org/1999/02/22-rdf-syntax-ns#
53,12,http://www.w3.org/2000/01/rdf-schema#
54,12,http://www.w3.org/2002/07/owl#
55,12,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/
56,12,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/
57,12,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/
58,12,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/
59,12,http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/
60,12,http://xmlns.com/foaf/0.1/
61,15,ftp://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DATA2010/Focusarea19/
62,15,ftp://ftp.fao.org/es/esn/food/
63,15,http:///casgroup.fiu.edu/capp/
64,15,http:///circ.ahajournals.org/cgi/content/meeting_abstract/120/18_MeetingAbstracts/
65,15,http:///dicon.medicine.duke.edu/
66,15,http:///hci-as2.hci.utah.edu/CFSurvey/
67,15,http:///www.gesundheitsforschung-bmbf.de/de/
68,15,http:///www.kcl.ac.uk/medicine/research/divisions/gmm/departments/dermatology/Research/stru/
69,15,http:///www.mrc.ac.uk/
70,15,http://103.31.202.60/subFW/
71,15,http://113.108.182.54/
72,15,http://130.219.250.123/pepweb/aboutus/
73,15,http://134.192.148.31/growth/
74,15,http://15.www.apregistry.com/forms/
75,15,http://151.100.101.14/ufficiostampa/
76,15,http://189.254.115.250/Resoluciones/Consultas/
77,15,http://189.28.128.100/nutricao/docs/geral/
78,15,http://193.146.50.130/
79,15,http://200.76.79.60/clinicaobesidad/
80,15,http://212.77.64.159/verona/
81,15,http://218.75.123.195:8181/portal/root/wzykdx_mzyzw_sjxt/
82,15,http://22q13.org/j15/
83,15,http://2coms.homestead.com/
84,15,http://4pillarstoolkit.pitt.edu/
85,15,http://ClinicalTrials.gov/show/
86,15,http://Consultgerin.org/uploads/File/trythis/
87,15,http://Www.ginasthma.org/
88,15,http://Www.sign.ac.uk/pdf/
89,15,http://aac.asm.org/content/57/2/
90,15,http://aaspire.org/?p=projects&c=hctoolkit/
91,15,http://abstracts.hematologylibrary.org/cgi/content/abstract/
92,15,http://ac.els-cdn.com.eproxy2.lib.hku.hk/S0002914903009226/
93,15,http://ac.els-cdn.com.ezproxy.library.dal.ca/S0924977X13705789/
94,15,http://ac.els-cdn.com/
95,15,http://academicdepartments.musc.edu/chp/ot/research/upper_extremity_lab/
96,15,http://academics.ochsner.org/
97,15,http://accordiafoundation.org/
98,15,http://acd.ufrj.br/nutricao/
99,15,http://achri.archildrens.org/Clinical_Research/Studies/
100,15,http://acpwh.csp.org.uk/publications/
101,15,http://acrc.ucsf.edu/
102,15,http://acrin.org/
103,15,http://acspressroom.wordpress.com/2012/01/06/cancer-in-teens-and-young-adults-not-much-improvement/
104,15,http://activ8rlives.com/
105,15,http://activcollector.clermont.inra.fr/
106,15,http://active-rehab.no/
107,15,http://activelivingresearch.org/
108,15,http://adai.washington.edu/instruments/pdf/
109,15,http://adc.bmj.com/content/98/6/
110,15,http://adni.loni.ucla.edu/
111,15,http://adni.loni.usc.edu/
112,15,http://advancedbrainmonitoring.com/night-shift/
113,15,http://aedv.es/profesionales/actualidad/noticias/
114,15,http://aegeriasoftissue.com/
115,15,http://africa.unfpa.org/public/news/pid/
116,15,http://aging.med.nyu.edu/
117,15,http://aging.ufl.edu/
118,15,http://agingandcognitionlab.com/
119,15,http://aidsinfo.nih.gov/
120,15,http://ais.swmed.edu/redcap/surveys/
121,15,http://ajcn.nutrition.org/content/92/5/
122,15,http://ajpendo.physiology.org/cgi/content/abstract/
123,15,http://akip.uk-koeln.de/forschung-publikation/forschungsprojekte/
124,15,http://akutforskning.au.dk/
125,15,http://alan-urban.fr/
126,15,http://alcalc.oxfordjournals.org/content/49/suppl_1/
127,15,http://alcoholichepatitis.org/
128,15,http://alcoholismmarijuanatreatment.com/
129,15,http://allerganclinicaltrials.com/inquiries/
130,15,http://allergy.ucsf.edu/
131,15,http://allhat.sph.uth.tmc.edu/
132,15,http://allomap.com/
133,15,http://als-research.org/
134,15,http://altheadx.com/
135,15,http://alzfor.org.cn/
136,15,http://alzheimersanddementiajournal.net/article/S1552-5260(13)00132-5/
137,15,http://americangut.org/
138,15,http://aml.mh-hannover.de/
139,15,http://amsrc.khu.ac.kr/center/
140,15,http://ana.klinikum.uni-muenchen.de/
141,15,http://anaesthesie-dresden.de/
142,15,http://anaesthesie.uk-koeln.de/
143,15,http://anaesthesieintensivmedizin.charite.de/
144,15,http://anesthesia.ucsd.edu/research/faculty-research/Pages/
145,15,http://ann.cc.ntu.edu.tw/asp/
146,15,http://annals.org/
147,15,http://annonc.oxfordjournals.org/
148,15,http://anrs.fr/
149,15,http://anthropology.emory.edu/home/people/faculty/
150,15,http://anxiety.psych.ucla.edu/
151,15,http://anzmtg.org/
152,15,http://apfed.org/drupal/drupal/
153,15,http://apheresisvigilance.eu/
154,15,http://apic.org/Resource_/TinyMceFileManager/Education/EPI-201-resources/
155,15,http://aplicacao.saude.gov.br/plataformabrasil/visao/pesquisador/gerirPesquisa/
156,15,http://aplikace.isvav.cvut.cz/
157,15,http://app.purduepharma.com/xmlpublishing/
158,15,http://app1.sfda.gov.cn/datasearch/face3/
159,15,http://app1.unmc.edu/publicaffairs/todaysite/sitefiles/
160,15,http://approach-is.net/
161,15,http://apps.csmc.edu/
162,15,http://apps.elsevier.es/watermark/
163,15,http://apps.facebook.com/quitlab/
164,15,http://apps.isiknowledge.com/
165,15,http://apps.nccd.cdc.gov/DDT_STRS2/
166,15,http://apps.who.int/
167,15,http://apt.rcpsych.org/cgi/content/abstract/16/2/
168,15,http://aquas.gencat.cat/web/.content/minisite/aquas/publicacions/2010/pdf/
169,15,http://ar.iiarjournals.org/content/33/3/
170,15,http://arbitragemedical.com/home/
171,15,http://arcage.iarc.fr/
172,15,http://archinte.jamanetwork.com/
173,15,http://archive.rubicon-foundation.org/
174,15,http://archivelfarma.com/
175,15,http://archives.niddk.nih.gov/patient/cric/
176,15,http://archpsyc.ama-assn.org/cgi/content/abstract/56/10/
177,15,http://archsurg.jamanetwork.com/
178,15,http://ardd.sph.umich.edu/
179,15,http://arise-clinicaltrial.eu/
180,15,http://arkansasautismalliance.org/
181,15,http://armyclinicaltrials.com/
182,15,http://ars.usda.gov/
183,15,http://arthritis-research.com/content/11/3/
184,15,http://artisan-plasticsurgery.com/
185,15,http://ash.confex.com/ash/2009/webprogram/
186,15,http://asian-health.med.nyu.edu/research/
187,15,http://asmbs.org/
188,15,http://aspe.hhs.gov/daltcp/napa/
189,15,http://asr.regione.emilia-romagna.it/
190,15,http://asso.orpha.net/
191,15,http://asthmanetresearch.org/
192,15,http://athnportaldev.athndev.org/content/
193,15,http://atlas.cr-technology.com/
194,15,http://atri.usc.edu/studies/
195,15,http://augen.uniklinikum-dresden.de/
196,15,http://avexis.com/
197,15,http://awl.colostate.edu/
198,15,http://azcc.arizona.edu/
199,15,http://bacbuc.hd.free.fr/WebDAV/data/DOM/CEREC/
200,15,http://bachmaihospital.org/
